,Date,Ratting
0,2024-11-30,5
1,2024-11-30,4
2,2024-11-28,3
3,2024-11-26,5
4,2024-11-23,4
5,2024-11-21,5
6,2024-11-20,5
7,2024-11-20,5
8,2024-11-17,4
